timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packet_length,tcp_flags,inter_arrival_time,pps,port_diversity,flow_duration
1765549959.8297305,20.215.74.200,192.168.0.3,443,60797,6,1393,A,0.0,4.0,1,0.4115893840789795
1765549959.8297305,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.0,5.0,3,4.8798370361328125
1765549959.8332536,20.215.74.200,192.168.0.3,443,60797,6,1393,PA,0.003523111343383789,4.2,1,0.4151124954223633
1765549959.8342657,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.004535198211669922,5.2,3,4.884372234344482
1765549959.8342657,20.215.74.200,192.168.0.3,443,60797,6,1393,A,0.0010120868682861328,4.4,1,0.4161245822906494
1765549959.8342657,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.0,5.4,3,4.884372234344482
1765549959.8342657,20.215.74.200,192.168.0.3,443,60797,6,1393,PA,0.0,4.6,1,0.4161245822906494
1765549959.8342657,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.0,5.6,3,4.884372234344482
1765549959.8342657,20.215.74.200,192.168.0.3,443,60797,6,969,PA,0.0,4.8,1,0.4161245822906494
1765549959.8342657,192.168.0.3,20.215.74.200,60797,443,6,461,PA,0.0,5.8,3,4.884372234344482
1765549959.91591,20.215.74.200,192.168.0.3,443,60797,6,54,A,0.08164429664611816,5.0,1,0.4977688789367676
1765549959.923335,20.215.74.200,192.168.0.3,443,60797,6,88,PA,0.007425069808959961,5.2,1,0.5051939487457275
1765549959.9486158,20.215.74.200,192.168.0.3,443,60797,6,88,PA,0.02528071403503418,5.4,1,0.5304746627807617
1765549959.9486158,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.1143500804901123,6.0,3,4.998722314834595
1765549960.3412247,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.3926088809967041,6.0,3,4.94240927696228
1765549960.5130994,192.168.0.3,34.233.49.149,53686,443,6,55,A,0.1718747615814209,6.0,3,4.908806800842285
1765549960.524551,3.248.75.199,192.168.0.3,443,55016,6,66,A,1.1895809173583984,1.0,1,4.892319679260254
1765549960.6366262,20.215.74.200,192.168.0.3,443,60797,6,458,PA,0.6880104541778564,5.6,1,1.2184851169586182
1765549960.6400566,192.168.0.3,20.215.74.200,60797,443,6,647,PA,0.12695717811584473,6.0,3,4.003684043884277
1765549960.7351334,34.233.49.149,192.168.0.3,443,53686,6,66,A,1.2228236198425293,1.0,1,4.9068098068237305
1765549960.7476244,20.215.74.200,192.168.0.3,443,60797,6,88,PA,0.11099815368652344,5.8,1,1.3294832706451416
1765549960.7941895,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.15413284301757812,6.2,3,4.1578168869018555
1765549961.3577483,20.215.74.200,192.168.0.3,443,60797,6,458,PA,0.610123872756958,6.0,1,1.9396071434020996
1765549961.3976092,192.168.0.3,20.215.74.200,60797,443,6,54,A,0.6034197807312012,6.4,3,4.761236667633057
1765549961.529567,192.168.0.3,3.248.75.199,55016,443,6,55,A,0.1319577693939209,6.6,3,4.8931944370269775
